Date,Open,High,Low,Close,Adj Close,Volume
2021-05-12,27.459999,27.639999,27.231001,27.231001,27.231001,33
2021-05-13,27.120001,27.145000,26.855000,27.044001,27.044001,155
2021-05-14,27.030001,27.500000,27.030001,27.353001,27.353001,16
2021-05-17,28.260000,28.330000,28.260000,28.260000,28.260000,61
2021-05-18,28.629999,28.680000,28.313999,28.313999,28.313999,52
2021-05-19,27.809999,28.007999,27.620001,28.007999,28.007999,28
2021-05-20,27.920000,28.052000,27.719999,28.052000,28.052000,26
2021-05-21,28.080000,28.120001,27.389999,27.473000,27.473000,95
2021-05-24,27.885000,27.900000,27.740000,27.886999,27.886999,85
2021-05-25,27.750000,28.037001,27.670000,28.037001,28.037001,81
2021-05-26,27.853001,27.853001,27.853001,27.853001,27.853001,744
2021-05-27,27.754999,27.920000,27.695000,27.919001,27.919001,525
2021-05-28,27.745001,27.993000,27.540001,27.993000,27.993000,181
2021-06-01,28.004999,28.580000,27.995001,28.083000,28.083000,187
2021-06-02,27.930000,28.186001,27.785000,28.186001,28.186001,35
2021-06-03,27.190001,27.459999,27.190001,27.459999,27.459999,20
2021-06-04,27.879000,27.879000,27.879000,27.879000,27.879000,0
2021-06-07,27.615000,28.000999,27.615000,28.000999,28.000999,4
2021-06-08,28.010000,28.010000,27.705000,27.715000,27.715000,4
2021-06-09,27.735001,27.850000,27.620001,27.665001,27.665001,11189
